samp_name,source_mat_id,id,sample_link,EMSL_store_temp,abs_air_humidity,address,adj_room,aero_struc,agrochem_addition,air_temp,air_temp_regm,al_sat,al_sat_meth,alt,amount_light,analysis_type,annual_precpt,annual_temp,arch_struc,avg_dew_point,avg_occup,avg_temp,bathroom_count,bedroom_count,biotic_regm,biotic_relationship,build_docs,build_occup_type,building_setting,built_struc_age,built_struc_set,built_struc_type,carb_dioxide,carb_nitro_ratio,ceil_area,ceil_cond,ceil_finish_mat,ceil_struc,ceil_texture,ceil_thermal_mass,ceil_type,ceil_water_mold,chem_administration,climate_environment,collection_date,collection_date_inc,collection_time,collection_time_inc,cool_syst_id,crop_rotation,cur_land_use,cur_vegetation,cur_vegetation_meth,date_last_rain,depth,dew_point,dna_absorb1,dna_absorb2,dna_collect_site,dna_concentration,dna_cont_type,dna_cont_well,dna_container_ID,dna_dnase,dna_isolate_meth,dna_organisms,dna_project_contact,dna_samp_ID,dna_sample_format,dna_sample_name,dna_seq_project,dna_seq_project_PI,dna_seq_project_name,dna_volume,door_comp_type,door_cond,door_direct,door_loc,door_mat,door_move,door_size,door_type,door_type_metal,door_type_wood,door_water_mold,drainage_class,drawings,ecosystem,ecosystem_category,ecosystem_subtype,ecosystem_type,elev,elevator,env_broad_scale,env_local_scale,env_medium,env_package,escalator,exp_duct,exp_pipe,experimental_factor,experimental_factor_other,ext_door,ext_wall_orient,ext_window_orient,extreme_event,fao_class,filter_method,filter_type,fire,fireplace_type,flooding,floor_age,floor_area,floor_cond,floor_count,floor_finish_mat,floor_struc,floor_thermal_mass,floor_water_mold,freq_clean,freq_cook,furniture,gaseous_environment,gender_restroom,geo_loc_name,growth_facil,hall_count,handidness,heat_cool_type,heat_deliv_loc,heat_sys_deliv_meth,heat_system_id,heavy_metals,heavy_metals_meth,height_carper_fiber,horizon_meth,humidity_regm,indoor_space,indoor_surf,inside_lux,int_wall_cond,isotope_exposure,last_clean,lat_lon,light_regm,light_type,link_class_info,link_climate_info,local_class,local_class_meth,max_occup,mech_struc,micro_biomass_C_meth,micro_biomass_N_meth,micro_biomass_meth,microbial_biomass,microbial_biomass_C,microbial_biomass_N,misc_param,non_microb_biomass,non_microb_biomass_method,number_pets,number_plants,number_resident,occup_density_samp,occup_document,occup_samp,org_matter,org_nitro,org_nitro_method,organism_count,other_treatment,oxy_stat_samp,ph,ph_meth,phosphate,pres_animal_insect,prev_land_use_meth,previous_land_use,profile_position,project_ID,proposal_dna,quad_pos,rel_air_humidity,rel_humidity_out,rel_samp_loc,rel_to_oxygen,replicate_number,room_air_exch_rate,room_architec_elem,room_condt,room_connected,room_count,room_dim,room_door_dist,room_door_share,room_hallway,room_loc,room_moist_dam_hist,room_net_area,room_occup,room_samp_pos,room_type,room_vol,room_wall_share,room_window_count,salinity,salinity_meth,samp_collec_device,samp_collec_method,samp_floor,samp_mat_process,samp_room_id,samp_size,samp_sort_meth,samp_store_temp,samp_time_out,samp_type,samp_weather,sample_shipped,season,season_precpt,season_temp,season_use,shad_dev_water_mold,shading_device_cond,shading_device_loc,shading_device_mat,shading_device_type,sieving,size_frac,size_frac_low,size_frac_up,slope_aspect,slope_gradient,soil_horizon,soil_text_measure,soil_texture_meth,soil_type,soil_type_meth,space_typ_state,specific,specific_ecosystem,specific_humidity,start_date_inc,start_time_inc,store_cond,substructure_type,surf_air_cont,surf_humidity,surf_material,surf_moisture,surf_moisture_ph,surf_temp,technical_reps,temp,temp_out,tillage,tot_carb,tot_nitro_cont_meth,tot_nitro_content,tot_org_c_meth,tot_org_carb,tot_phosp,train_line,train_stat_loc,train_stop_loc,typ_occup_density,ventilation_type,vis_media,wall_area,wall_const_type,wall_finish_mat,wall_height,wall_loc,wall_surf_treatment,wall_texture,wall_thermal_mass,wall_water_mold,water_cont_soil_meth,water_content,water_feat_size,water_feat_type,watering_regm,weekday,window_cond,window_cover,window_horiz_pos,window_loc,window_mat,window_open_freq,window_size,window_status,window_type,window_vert_pos,window_water_mold
p6_d4,1f3dcf60-06dd-11ed-b939-0242ac120002,nmdc:fk04npx48,7a48c118-0459-4b1c-9faa-d1f817cd00e8,-80,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6_d5,1f3dd0aa-06dd-11ed-b939-0242ac120002,nmdc:fk007rg07,7a48c118-0459-4b1c-9faa-d1f817cd00e8,-80,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USDA Forest Service Marcell Experimental Forest,field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6_d6,1f3dd1d6-06dd-11ed-b939-0242ac120002,nmdc:fk01zw687,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6_d7,1f3dd514-06dd-11ed-b939-0242ac120002,nmdc:fk0a2nk84,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6_d8,1f3dd62c-06dd-11ed-b939-0242ac120002,nmdc:fk0trbc14,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6_d9,1f3dd73a-06dd-11ed-b939-0242ac120002,nmdc:fk0pytz45,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6_d10,1f3dd87a-06dd-11ed-b939-0242ac120002,nmdc:fk0dsez66,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d1,1f3dd99c-06dd-11ed-b939-0242ac120002,nmdc:fk04sz369,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d2,1f3ddaa0-06dd-11ed-b939-0242ac120002,nmdc:fk06eqz24,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d3,1f3ddbb8-06dd-11ed-b939-0242ac120002,nmdc:fk00zah79,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d4,1f3ddf0a-06dd-11ed-b939-0242ac120002,nmdc:fk0kpq105,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d5,1f3de022-06dd-11ed-b939-0242ac120002,nmdc:fk0jpfx53,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d6,1f3de144-06dd-11ed-b939-0242ac120002,nmdc:fk09zjf94,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d7,1f3de252-06dd-11ed-b939-0242ac120002,nmdc:fk0nsqb82,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d8,1f3de4a0-06dd-11ed-b939-0242ac120002,nmdc:fk0606f92,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d9,1f3de5c2-06dd-11ed-b939-0242ac120002,nmdc:fk07hhv83,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p13_d10,1f3de6d0-06dd-11ed-b939-0242ac120002,nmdc:fk0caqj65,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d1,1f3dea90-06dd-11ed-b939-0242ac120002,nmdc:fk0mwd050,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d2,1f3deb9e-06dd-11ed-b939-0242ac120002,nmdc:fk0m2cr18,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d3,1f3decca-06dd-11ed-b939-0242ac120002,nmdc:fk0fx2b59,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d4,1f3dedce-06dd-11ed-b939-0242ac120002,nmdc:fk0ne3j77,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d5,1f3deefa-06dd-11ed-b939-0242ac120002,nmdc:fk0vqmy88,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d6,1f3df008-06dd-11ed-b939-0242ac120002,nmdc:fk0sda225,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d7,1f3df116-06dd-11ed-b939-0242ac120002,nmdc:fk0qfay91,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,metabolomics;natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d8,1f3df472-06dd-11ed-b939-0242ac120002,nmdc:fk0b5ww20,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d9,1f3df58a-06dd-11ed-b939-0242ac120002,nmdc:fk0n8bq72,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17_d10,1f3df6b6-06dd-11ed-b939-0242ac120002,nmdc:fk0zt6g40,7a48c118-0459-4b1c-9faa-d1f817cd00e8,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peatland [ENVO:00000044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRUCE_6_0_D2,,nmdc:fk0tqcg68,3051e96e-1806-42f1-95b7-3be2bf0ee8c5,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-23,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Peat,Soil,,,__temperate woodland biome [ENVO:01000221],peatland [ENVO:00000044],forest soil [ENVO:00002261],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA: Minnesota, Grand Rapids",experimental_garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Zhang, Hailin, and Kendal Henderson. Procedures used by OSU Soil, Water and Forage Analytical Laboratory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russian Core,,,,,,-20 Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,,,,frozen,,,,,,,,,0 C,,,,,,,,,,,,,,,,,,,,,,,,"Gardner, Walter H.",,,,,,,,,,,,,,,,
SPRUCE_6_0_D5,,nmdc:fk0mxkw04,3051e96e-1806-42f1-95b7-3be2bf0ee8c5,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-23,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Peat,Soil,,,__temperate woodland biome [ENVO:01000221],peatland [ENVO:00000044],forest soil [ENVO:00002261],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA: Minnesota, Grand Rapids",experimental_garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Zhang, Hailin, and Kendal Henderson. Procedures used by OSU Soil, Water and Forage Analytical Laboratory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russian Core,,,,,,-20 Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,,,,frozen,,,,,,,,,0 C,,,,,,,,,,,,,,,,,,,,,,,,"Gardner, Walter H.",0.84,,,,,,,,,,,,,,,
